wrclmch,prtcleat,anweight,party_feel_closest
0.5,1.0,1.191939,middle left
0.0,66.0,0.21799691,none
0.5,2.0,0.22805028,middle right
0.5,2.0,0.09160248,middle right
0.5,66.0,0.15349002,none
0.5,3.0,0.13885415,right
0.0,2.0,0.21263072,middle right
0.5,3.0,0.20094818,right
0.5,2.0,1.3236659,middle right
0.0,2.0,0.047483135,middle right
0.5,1.0,0.30155247,middle left
0.0,66.0,0.07684516,none
1.0,66.0,1.3238643,none
0.5,66.0,0.15498596,none
-0.5,66.0,0.20094818,none
0.0,2.0,0.12845486,middle right
0.5,66.0,0.4346391,none
0.0,66.0,1.2182386,none
0.0,66.0,0.053822216,none
0.0,1.0,1.3238645,middle left
0.5,66.0,0.22242649,none
-1.0,66.0,0.215119,none
-0.5,3.0,0.118291266,right
-0.5,66.0,0.107597955,none
0.0,1.0,0.60310495,middle left
1.0,6.0,1.3238643,left
1.0,1.0,0.76394445,middle left
1.0,5.0,0.37778822,left
0.0,1.0,0.22856614,middle left
-0.5,66.0,0.36252013,none
0.0,66.0,0.19108887,none
0.5,1.0,0.09633546,middle left
-0.5,1.0,0.51117456,middle left
-0.5,2.0,0.387933,middle right
0.0,66.0,0.3216308,none
1.0,66.0,0.222108,none
0.5,66.0,0.44850147,none
0.0,66.0,0.14808734,none
0.5,3.0,0.05045238,right
-0.5,3.0,0.22311966,right
0.0,3.0,0.9014281,right
0.5,66.0,0.14894733,none
1.0,66.0,1.0893724,none
-0.5,3.0,0.21468475,right
0.5,66.0,0.39067268,none
-0.5,3.0,0.05687139,right
0.5,6.0,0.3931305,left
0.5,3.0,0.054313693,right
0.0,66.0,0.16921861,none
0.5,2.0,0.043629494,middle right
1.0,66.0,0.2314321,none
0.5,2.0,0.22803932,middle right
0.5,66.0,0.6255575,none
0.0,66.0,0.116098724,none
0.5,1.0,0.0902723,middle left
0.5,1.0,0.10664708,middle left
0.5,2.0,0.2811936,middle right
0.5,1.0,0.22311966,middle left
0.0,1.0,0.09553995,middle left
0.0,66.0,0.23973201,none
0.5,1.0,0.387933,middle left
0.0,2.0,0.21519588,middle right
1.0,2.0,0.043629494,middle right
0.0,2.0,1.1030813,middle right
0.0,3.0,0.06690894,right
0.5,66.0,0.12845486,none
0.5,66.0,0.03842258,none
0.5,1.0,0.10293316,middle left
0.0,66.0,1.3238642,none
0.0,66.0,0.3357224,none
0.5,66.0,0.18054458,none
-0.5,66.0,0.15271756,none
0.0,66.0,0.063962385,none
0.5,66.0,0.20898888,none
0.5,66.0,0.18910748,none
0.0,66.0,0.10293316,none
0.0,66.0,0.07867683,none
-0.5,2.0,0.33525828,middle right
0.0,66.0,0.10885997,none
1.0,1.0,0.55609435,middle left
0.0,3.0,0.08149638,right
0.0,66.0,1.3238642,none
-1.0,66.0,0.47110292,none
0.0,66.0,0.038699605,none
0.0,66.0,0.18445346,none
0.0,1.0,0.35286197,middle left
0.5,66.0,0.32426775,none
0.5,5.0,0.106591724,left
-0.5,66.0,0.24913065,none
-0.5,3.0,0.26317146,right
0.5,66.0,0.06135559,none
-0.5,3.0,0.09936386,right
0.5,2.0,0.17354122,middle right
0.0,66.0,0.33039227,none
1.0,66.0,1.3238643,none
1.0,66.0,1.3238645,none
0.0,1.0,0.13009207,middle left
0.0,1.0,0.13517718,middle left
0.5,66.0,0.17225829,none
0.0,1.0,0.20409732,middle left
0.0,66.0,0.56249034,none
-1.0,2.0,0.19595523,middle right
0.0,2.0,0.14777084,middle right
0.0,66.0,0.5212772,none
0.5,66.0,0.6432616,none
-0.5,66.0,0.08130187,none
0.5,66.0,0.20036712,none
0.0,1.0,0.4625385,middle left
0.5,3.0,0.65230185,right
1.0,7.0,0.12498708,middle right
0.5,66.0,0.09976586,none
0.5,1.0,0.5365671,middle left
-0.5,66.0,0.3588042,none
-0.5,66.0,0.6852419,none
0.0,66.0,0.12830152,none
-1.0,66.0,0.051213868,none
0.0,1.0,0.103764966,middle left
0.0,1.0,0.4584809,middle left
0.0,66.0,0.11630669,none
0.0,66.0,0.14908034,none
0.0,66.0,1.1618241,none
0.0,66.0,1.184588,none
0.5,66.0,0.15409446,none
0.0,3.0,0.5897954,right
0.5,66.0,0.16929258,none
0.0,66.0,0.115610704,none
0.5,66.0,0.04403058,none
0.5,66.0,0.17967631,none
0.0,2.0,0.39902058,middle right
0.5,66.0,0.20097044,none
0.0,66.0,0.048615012,none
0.5,66.0,0.21574178,none
1.0,66.0,0.14777084,none
0.0,66.0,0.5062849,none
0.5,66.0,0.061764877,none
0.0,66.0,0.1971746,none
0.5,1.0,0.058316287,middle left
0.0,66.0,0.21157856,none
1.0,5.0,0.45244995,left
0.0,3.0,0.092465535,right
1.0,66.0,0.13899043,none
0.0,1.0,0.09211799,middle left
-0.5,3.0,0.35914776,right
0.0,66.0,0.23012803,none
0.0,1.0,0.095446646,middle left
-0.5,3.0,0.5096848,right
0.5,5.0,1.3238643,left
0.5,66.0,0.12315519,none
0.5,1.0,0.0978774,middle left
-0.5,3.0,0.10293316,right
0.0,66.0,0.3902762,none
0.5,66.0,0.13777868,none
0.5,1.0,0.1950677,middle left
0.5,66.0,0.22242649,none
0.0,66.0,0.095766954,none
0.0,2.0,0.103305325,middle right
-0.5,66.0,0.07827584,none
0.5,66.0,0.0489387,none
1.0,5.0,1.3238643,left
0.0,66.0,0.054040294,none
0.0,66.0,0.40937296,none
0.0,66.0,0.84357965,none
0.0,5.0,0.10828316,left
-0.5,88.0,0.7037452,none
1.0,1.0,0.12923826,middle left
0.0,2.0,0.121793956,middle right
0.0,66.0,0.38117707,none
0.0,2.0,0.2174638,middle right
0.0,66.0,0.057419594,none
1.0,1.0,0.63088864,middle left
1.0,2.0,0.44850147,middle right
0.0,1.0,0.3338157,middle left
1.0,5.0,0.16519614,left
0.5,2.0,0.055206582,middle right
0.5,66.0,0.1816021,none
-0.5,3.0,0.46025607,right
0.0,66.0,0.40996447,none
-0.5,3.0,0.10818827,right
1.0,6.0,1.3238643,left
0.0,66.0,0.13497634,none
0.5,1.0,0.84682536,middle left
-0.5,66.0,0.046825554,none
0.0,66.0,1.191939,none
0.0,1.0,0.14472999,middle left
1.0,66.0,0.32426775,none
0.0,66.0,0.21999326,none
-0.5,1.0,0.2643093,middle left
0.0,3.0,0.25409827,right
0.0,1.0,0.101897456,middle left
0.5,66.0,0.48480842,none
0.0,1.0,0.04647404,middle left
0.0,1.0,0.28782848,middle left
0.0,3.0,0.08725899,right
0.0,66.0,0.091044754,none
-0.5,1.0,0.1745223,middle left
0.0,66.0,0.15414636,none
0.5,1.0,0.081176795,middle left
0.5,66.0,0.040366955,none
0.5,66.0,0.31544432,none
0.5,66.0,0.26277858,none
0.5,66.0,0.12520759,none
0.0,66.0,1.1801572,none
0.0,66.0,1.3238645,none
0.0,66.0,0.055799972,none
